Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month Name,Day Name,age group
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,November,Friday,25-34
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,February,Monday,25-34
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,January,Friday,45-54
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,May,Sunday,35-44
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,May,Saturday,25-34
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,April,Tuesday,45-54
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,March,Monday,45-54
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,February,Wednesday,25-34
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,December,Wednesday,55-64
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,October,Saturday,45-54
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,February,Tuesday,18-24
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,October,Monday,35-44
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,August,Saturday,18-24
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,January,Tuesday,55-64
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,January,Monday,35-44
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,February,Friday,18-24
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,April,Saturday,25-34
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,April,Sunday,45-54
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,September,Saturday,55-64
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,November,Sunday,18-24
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,January,Saturday,45-54
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,October,Sunday,18-24
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,April,Wednesday,35-44
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,November,Wednesday,45-54
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,December,Tuesday,55-64
26,10/7/2023,CUST026,Female,28,Electronics,2,500,1000,October,Saturday,25-34
27,8/3/2023,CUST027,Female,38,Beauty,2,25,50,August,Thursday,35-44
28,4/23/2023,CUST028,Female,43,Beauty,1,500,500,April,Sunday,35-44
